ID,Nom
488,Aberdeen Asset Managers Limited 
489,Amundi Asset Management SA
490,"BlackRock, Inc. "
491,Caisse Des Dépôts & Consignations
492,Caixabank 
493,Chase Nominees Limited 
494,Clearstream Banking
495,Commerzbank AG
496,Dimensional Fund Advisors
497,Dodge & Cox 
498,Etat Autrichien
499,Etat Espagnol
500,Etat Finlandais
501,Etat Français
502,Etat Hollandais
503,Etat Irlandais
504,Etat Italien
505,Etat Norvégien
506,Etat Polonais
507,Etat Suédois
508,Folketrygdfondet 
509,Franklin Templeton Investments
510,Groupe Bruxelles Lambert 
511,Ilmarinen Mutual Pension
512,Invesco
513,Nationale-Nederlanden
514,Banque Centrale de Norvège
515,PZU
516,Qatar Investment Authority
517,Schroders
518,State Street Corp
519,"The Capital Group Companies, Inc. "
520,"The Vanguard Group, Inc. "
521,Wiener Stadtwerke
